true,predict
44667.0,32276.121
59586.0,39239.598
52670.0,39675.11
20844.0,10528.794
21752.0,7743.2163
46825.0,45820.113
40390.0,32818.254
54892.0,48766.504
37286.0,39344.426
64397.0,47805.33
20156.0,5546.1455
36077.0,25820.713
16063.0,6121.877
27597.0,17225.137
40317.0,22843.227
21423.0,6191.6313
31589.0,19332.482
34881.0,23637.1
34283.0,17050.635
89102.0,74057.66
22843.0,5338.3413
49872.0,45295.062
49919.0,34590.86
52700.0,48749.645
56851.0,39273.977
11379.0,-3577.0217
29681.0,17504.582
24353.0,14542.594
34350.0,16684.385
13899.0,-3364.515
30754.0,19874.037
30241.0,24966.068
51399.0,52158.18
31422.0,28264.352
13904.0,1367.9026
43184.0,35879.094
34699.0,18329.383
64281.0,66611.01
52702.0,60869.445
19661.0,301.3439
29774.0,24136.502
70592.0,55934.453
11285.0,-3010.756
49821.0,51071.74
50532.0,57488.29
21466.0,8647.55
42298.0,50619.816
63117.0,60261.367
62011.0,44552.832
32522.0,22264.225
29925.0,26763.334
27651.0,18066.725
18499.0,-2374.2334
63010.0,61083.914
46020.0,41256.44
61079.0,55658.277
34796.0,28386.535
50200.0,66013.07
37308.0,37322.793
61481.0,56303.496
58882.0,66247.33
44295.0,46390.23
64411.0,67293.35
70429.0,91558.805
21775.0,11797.43
36130.0,27579.31
22034.0,5004.161
32195.0,20884.66
38668.0,27038.062
34979.0,29278.488
42587.0,32279.441
61652.0,62239.215
36903.0,30079.398
31282.0,18655.637
44586.0,43435.332
49443.0,46454.223
53418.0,53777.77
55101.0,61800.96
51041.0,44163.24
31645.0,21713.65
42367.0,28093.686
29370.0,11976.092
18713.0,3641.6692
24602.0,15767.164
16114.0,3661.8477
56731.0,46899.23
26904.0,17727.3
37076.0,18941.203
45149.0,45658.54
41889.0,37705.367
27452.0,23153.922
74184.0,79657.836
32014.0,16940.69
49912.0,48848.9
18986.0,7900.604
111484.0,115345.64
80036.0,69252.72
119463.0,115646.35
67137.0,76055.38
65826.0,63632.027
69906.0,63054.32
62345.0,70722.336
40858.0,30841.252
22455.0,12428.347
40029.0,19390.336
32727.0,17366.023
18632.0,1625.3634
60042.0,77687.47
40114.0,39998.215
39813.0,26255.73
32298.0,16515.64
36562.0,22423.09
32991.0,23779.668
24733.0,10050.505
31560.0,25642.84
45883.0,43000.332
36749.0,30536.584
21150.0,11382.71
62601.0,61467.67
37556.0,30932.459
35248.0,28576.102
46950.0,41840.195
66603.0,51893.08
48417.0,35484.3
25839.0,19879.531
14396.0,2449.8953
41234.0,35249.484
46300.0,48356.9
22727.0,12842.877
49406.0,47549.61
45652.0,40996.36
28952.0,8749.605
33674.0,17714.871
50830.0,43249.94
17938.0,5978.22
30685.0,19117.336
28219.0,24949.16
31223.0,29443.357
34934.0,22997.617
46756.0,27667.049
30230.0,28005.998
50002.0,38731.195
17966.0,3458.9358
24059.0,6044.969
28617.0,16794.072
50808.0,60930.785
23137.0,16163.951
36807.0,31619.592
23844.0,13476.894
44352.0,30614.95
21734.0,12979.294
46502.0,38259.12
64956.0,60133.28
34879.0,23254.982
49009.0,50463.938
40368.0,28154.879
15207.0,-909.0063
48804.0,50842.09
45775.0,38181.723
64895.0,70699.555
57542.0,60053.195
31812.0,25520.73
35936.0,27225.305
20791.0,8713.507
43110.0,43132.438
33244.0,29624.906
72180.0,43158.746
33953.0,12165.037
57606.0,50233.53
50940.0,46483.164
22592.0,17136.926
28927.0,10436.516
25582.0,17415.04
13239.0,-1189.7823
12858.0,1325.3435
30502.0,24684.672
24666.0,17408.508
28119.0,20124.09
22082.0,9238.65
24953.0,11787.244
25080.0,13929.313
11849.0,-2855.7139
26498.0,19296.87
24751.0,15201.98
17903.0,6481.5435
25159.0,15097.677
13223.0,-3886.285
11020.0,-4468.304
19393.0,1.8609977
17784.0,6575.5107
11614.0,-5645.204
13207.0,-2513.1235
16089.0,1488.4353
16721.0,672.21515
11809.0,-5215.2036
16282.0,5427.9316
24440.0,16773.348
28017.0,13175.216
10135.0,-6787.332
40866.0,37353.01
46804.0,43234.562
54987.0,45900.824
28917.0,21066.143
22198.0,2980.4812
59388.0,65178.31
32972.0,8976.744
58901.0,58021.48
46307.0,45928.516
28963.0,20134.715
47756.0,36355.2
29421.0,25415.283
42299.0,31643.264
30828.0,14408.097
47867.0,42036.566
31764.0,26985.568
82648.0,78085.484
55698.0,46656.57
23664.0,5669.654
50294.0,57205.92
75795.0,78912.125
37387.0,39388.67
53273.0,50792.633
49106.0,39520.25
23122.0,12881.183
38591.0,20911.55
54853.0,43505.613
49559.0,38097.535
55138.0,37108.543
53904.0,47549.613
33213.0,18629.973
74050.0,89069.34
45174.0,41508.934
45312.0,32518.326
38164.0,22485.412
67176.0,53222.957
5041.0,-12514.179
7936.0,-9535.307
6737.0,-8195.336
46257.0,33130.992
14463.0,-806.9169
17545.0,1069.0155
14652.0,-970.42096
24539.0,24357.355
29072.0,21302.252
19420.0,8014.553
22111.0,13564.68
18679.0,5027.837
18285.0,3150.4365
25143.0,4040.8906
13799.0,-3492.641
22206.0,3575.9702
18756.0,3873.931
15316.0,2770.1108
19464.0,4374.443
15001.0,-1925.9764
41868.0,27908.852
15836.0,-2241.9976
23493.0,2032.9197
25052.0,9765.313
28484.0,17704.332
29987.0,16878.65
24344.0,17642.084
35588.0,24914.426
19299.0,716.3073
17420.0,31966.953
38919.0,38599.96
25864.0,9245.939
25983.0,16944.58
29990.0,28919.527
23639.0,7450.704
25434.0,4424.751
27120.0,47406.19
67253.0,75680.95
28451.0,16443.262
28670.0,17239.473
48676.0,49795.72
27197.0,10895.114
20681.0,489.31998
